Provider Name,State,City,Claims Paid for Testing,Claims Paid for Treatment,Claims Paid for Vaccine,Georeferenced Column,States,Counties
CARROLL COUNTY ANESTHE,MD,WESTMINSTER,0,319,0,POINT (-76.99604 39.575232),45,1766
NES MEDICAL SERVICES O,NY,BATH,7329,3197,0,POINT (-77.317992 42.337015),47,2178
FAIROAKS MEDICAL LLC,IL,WEST CHICAGO,106834,15292,0,POINT (-88.204903 41.884657),34,1866
PROFESSIONAL PRESCRIPT,MO,FESTUS,0,0,2639,POINT (-90.395434 38.219667),18,1967
SCHENECTADY AMBULANCE,NY,SCHENECTADY,0,926,0,POINT (-73.944103 42.814219),47,2142
A N R ASSOCIATES LLC,MI,FARMINGTON,0,0,2960,POINT (-83.374774 42.458375),50,1307
NIEDERMANN PHARMACY IN,IA,HIAWATHA,0,0,2577,POINT (-91.671159 42.03703),16,287
EAGLES LANDING FAMILY,GA,LOCUST GROVE,0,0,80,POINT (-84.106827 33.343402),31,1415
CVS PHARMACY,NV,CARSON CITY,0,0,17,POINT (-119.766919 39.16458),10,483
WELLNESS FAMILY PHARMA,PA,UPPER CHICHESTER,40,0,22874,POINT (-75.421184 39.825205),48,2503
TENNESSEE RIVER PHYSIC,TN,CHATTANOOGA,529301,125491,0,POINT (-85.308287 35.045756),39,2049
UNIVERSITY OF ROCHESTE,NY,ROCHESTER,0,78,0,POINT (-77.612547 43.155708),47,2093
DOC MARTINS INC DBA FL,AZ,FLAGSTAFF,0,0,39,POINT (-111.65132 35.198177),7,986
AKDHC LLC,AZ,SCOTTSDALE,0,2002,0,POINT (-111.926061 33.494909),7,989
SEDALIA URGENT CARE LL,MO,SEDALIA,65,0,0,POINT (-93.236542 38.704529),18,535
BARSTOW COMMUNITY HOSP,CA,BARSTOW,3994,949772,0,POINT (-117.02405 34.899659),8,78
AXIOM SURGICAL LLC,MD,GLEN BURNIE,0,5252,0,POINT (-76.624984 39.164818),45,418
NORTH SHORE LIJ,NY,NEW YORK,12821,11087,0,POINT (-74.007228 40.713054),46,2095
ROBERT WOOD JOHNSON ME,NJ,NEW BRUNSWICK,1809,3878,0,POINT (-74.444139 40.495921),46,2490
ABBOTT NORTHWESTERN HO,MN,MINNEAPOLIS,978,0,0,POINT (-93.264346 44.977479),1,1406
HASSLERS DRUGS INC,TN,SPRING CITY,0,640,4132,POINT (-84.86011 35.691882),39,2106
CENTRAL OHIO HOSPITALI,OH,CENTERBURG,0,364,0,POINT (-82.695846 40.304086),38,2570
ALEGENT HEALTH BERGAN,NE,OMAHA,419316,2002733,0,POINT (-95.937195 41.258652),19,2249
PIEDMONT HOSPITALIST P,GA,FAYETTEVILLE,0,7579,0,POINT (-84.455114 33.447755),31,1134
SANTA CLARA VALLEY MED,CA,SAN JOSE,453,3622,0,POINT (-121.888128 37.334807),8,1334
INTEGRIS BAPTIST MEDIC,OK,OKLAHOMA CITY,563062,9502899,0,POINT (-97.521264 35.468494),20,712
PRESBYTERIAN MEDICAL S,NM,MAGDALENA,0,119,669,POINT (-107.24071 34.114475),11,1992
LAWRENCE COUNTY EMS IN,AL,MOULTON,0,91562,0,POINT (-87.292412 34.481557),29,1585
PRX PHARMACORP,CA,BEVERLY HILLS,0,0,1097,POINT (-118.404679 34.080294),8,1195
PREMIER MEDICAL GROUP,AZ,TEMPE,0,0,1119,POINT (-111.941253 33.425522),7,989
RADIOLOGIC ASSOCIATES,NY,MIDDLETOWN,171,3085,0,POINT (-74.420024 41.445053),47,2134
FAMILY HEALTH CENTERS,CA,SAN DIEGO,31650,3997,160,POINT (-117.163817 32.71576),8,1179
PALM BEACH GENERAL SUR,FL,PORT SAINT LUCIE,0,563,0,POINT (-80.342148 27.273274),30,1084
FACULTY PRACTICE ASSOC,NY,LONG ISLAND CITY,0,508,0,POINT (-73.949203 40.744701),47,2137
CUMBERLAND FAMILY MEDI,KY,FRANKFORT,41465,12329,240,POINT (-84.87329 38.201005),36,241
ADVOCATE HEALTH AND HO,IL,BUFFALO GROVE,72,976,0,POINT (-87.966776 42.151944),34,1863
SYNERGY DIAGNOSTIC LAB,FL,DAVIE,2796532,26411,0,POINT (-80.232207 26.065087),30,1054
STERLING EMERGENCY SER,FL,MIAMI,371414,115977,0,POINT (-80.194702 25.775084),30,1074
GARDENS RADIOLOGY ASSO,FL,PALM BEACH GARDENS,120,7554,0,POINT (-80.136313 26.809793),30,52
FOUNTAIN VALLEY EMERGE,CA,FOUNTAIN VALLEY,265142,70032,0,POINT (-117.951323 33.708975),8,1174
TRI COUNTY COMMUNITY H,NC,BOLIVIA,170,0,0,POINT (-78.147006 34.069229),37,2231
MERCY HOSPITAL OF FRAN,IA,OELWEIN,7888,11034,0,POINT (-91.911989 42.678527),16,278
UNOMED LC,AZ,PHOENIX,0,4271,0,POINT (-112.072585 33.448204),7,989
QURESHI AL OWIR DBA NE,NV,HENDERSON,0,3856,0,POINT (-114.984455 36.034095),10,480
LAKELAND COMMUNITY HOS,MI,NILES,1005,124,800,POINT (-86.252537 41.829642),50,1216
REGENTS OF THE UNIVERS,CA,LOS ANGELES,82,0,0,POINT (-118.243344 34.052238),8,1195
KNIGHTS MEDICAL ASSOCI,PA,BENSALEM,0,0,25507,POINT (-74.942875 40.110248),48,2458
GENESIS COMMUNITY HEAL,FL,BOYNTON BEACH,0,22477,10081,POINT (-80.064171 26.528911),,52
ST LUCIE MEDICAL CENTE,FL,BROOKSVILLE,507607,2502391,0,POINT (-82.387858 28.554895),30,1106
MATTHEWS VU MEDICAL GR,CO,COLORADO SPRINGS,2498,0,476,POINT (-104.819798 38.835224),9,1447
THE BROOKLYN HOSPITAL,NY,BROOKLYN,60027,230991,51546,POINT (-73.990996 40.692529),,2090
SCHEURER HOSPITAL,MI,ELKTON,0,98,0,POINT (-83.17947 43.819242),50,1303
WEST HUDSON IMAGING AS,NY,MONROE,0,274,0,POINT (-74.177985 41.319875),47,2134
JOHNS HOPKINS COMMUNIT,MD,BALTIMORE,0,4952,0,POINT (-76.612333 39.290443),45,1857
COMMUNITY HEALTH CARE,IL,MOLINE,5186,3541,0,POINT (-90.489271 41.492225),34,1796
SE EMERGENCY PHYSICIAN,KY,MOUNT VERNON,64,118,0,POINT (-84.340566 37.352895),36,1482
CENTER FOR REGENERATIV,AR,BRYANT,0,0,80,POINT (-92.48908 34.597883),15,1000
WEST FLORIDA CARDIOVAS,FL,PENSACOLA,0,888,0,POINT (-87.217578 30.406931),30,43
KEYSTONE MEDICAL SERVI,PA,PITTSBURGH,1884,285,0,POINT (-79.994945 40.442169),48,2455
HUGO FAMILY PHARMACY,OK,HUGO,0,0,600,POINT (-95.512861 34.010869),20,2712
ADVOCATE HOME CARE PRO,IL,OAK BROOK,0,249,0,POINT (-87.928669 41.832946),34,1866
SUSSEX EMERGENCY ASSOC,NJ,VINELAND,2382,1012,0,POINT (-75.02578 39.48618),46,2485
LAFAYETTE EMERGENCY PH,IN,SHELBYVILLE,17029,6557,0,POINT (-85.777011 39.52295),35,168
SOUTHERN ILLINOIS HEAL,IL,SWANSEA,232,0,0,POINT (-89.984092 38.52937),34,1797
ILLINOIS VALLEY COMMUN,IL,OGLESBY,651,45,0,POINT (-89.06811 41.299189),34,124
WEST COUNTY RADIOLOGIC,MO,SAINT LOUIS,1658,116,0,POINT (-90.200309 38.630276),18,2223
SUTTER VALLEY MEDICAL,CA,STOCKTON,385,1826,40,POINT (-121.292451 37.957541),8,1181
BROOKHAVEN GASTROENTER,NY,EAST PATCHOGUE,0,123,0,POINT (-72.998966 40.766817),47,2179
DIRECT URGENT CARE1417,CA,MOUNTAIN VIEW,1771421,40160,0,POINT (-122.08139 37.39008),8,1334
PREVENTIVE MEDICAL CAR,PR,CEIBA,0,0,7438,POINT (-65.649205 18.259726),,3015
LAKEWOOD HEALTH AND RE,AR,NORTH LITTLE ROCK,0,0,2743,POINT (-92.267774 34.756059),15,998
FOLTON PHARMACY INC,OH,CANTON,40,0,646,POINT (-81.377036 40.797388),38,2626
NEWTON WELLESLEY,MA,NEWTON,3530,1908,0,POINT (-71.211578 42.338028),25,1915
ESSENTIA HEALTH DULUTH,MN,HERMANTOWN,6542,2071,1120,POINT (-92.180035 46.778627),1,389
FAMILY MEDICAL CARE LL,FL,BRADENTON,0,10768,0,POINT (-82.562798 27.488962),30,49
BANNER PRIMARY CARE PH,AZ,BUCKEYE,128,0,0,POINT (-112.583575 33.370497),7,989
CMC DEPARTMENT OF MEDI,NJ,VOORHEES,0,293,0,POINT (-74.949196 39.857822),46,2448
CHOICE CRITICAL CARE L,PA,EAST BERLIN,120,0,1862,POINT (-76.980498 39.937556),48,2454
WILLIAMS FAMILY PHARMA,LA,FRANKLINTON,0,0,3096,POINT (-90.154481 30.847512),22,1676
WARWICK COMMUNITY AMBU,PA,LITITZ,0,1916,0,POINT (-76.308965 40.155486),48,2553
PINNACLE HEALTH REGION,PA,MANHEIM,74,163,0,POINT (-76.395141 40.163786),48,2553
110 VAN HOUTEN LLC,NJ,PASSAIC,0,0,440,POINT (-74.12484 40.859885),46,2493
SWLA CENTER FOR HEALTH,LA,LAKE CHARLES,64,0,0,POINT (-93.217112 30.229289),22,1576
MOBOLAJI BAKARE,NC,GREENSBORO,0,179,0,POINT (-79.793899 36.072701),37,643
GRAND RIVER EMERGENCY,MI,GRAND RAPIDS,136064,47056,0,POINT (-85.670209 42.965446),50,1260
BAPTIST MEMORIAL HOSPI,MS,CALHOUN CITY,437529,246940,1152,POINT (-89.311309 33.856304),32,398
COMMUNITY HEALTH CENTE,MO,LINN,9605,73,265,POINT (-91.966205 38.577737),18,2165
IHA HEALTH SERVICES CO,MI,YPSILANTI,544,4209,0,POINT (-83.614543 42.239806),50,366
UCHEALTH GRANDVIEW HOS,CO,COLORADO SPRINGS,16882,256870,0,POINT (-104.819798 38.835224),9,1447
AUM PHARMACY,FL,LAND O LAKES,0,0,14505,POINT (-82.458159 28.221466),30,1080
PPG SCRIPT INC,PA,GROVE CITY,120,0,7835,POINT (-80.088687 41.157879),48,2558
TRUEFIT MEDICAL LABORA,OK,TULSA,65655,0,40,POINT (-95.992083 36.155327),20,2273
GUTHRIE CLINIC,NY,CORTLAND,128197,2750,439,POINT (-76.180483 42.601213),47,620
UNITYPOINT HEALTH MARS,IA,TOLEDO,114,0,0,POINT (-92.581705 41.990908),16,1883
DIAGNOSTIC XRAY PHYSIC,KY,LOUISVILLE,713,589,0,POINT (-85.751569 38.256078),36,1327
BOLIVAR PHYSICIAN PRAC,MS,CLEVELAND,391,0,0,POINT (-90.721696 33.747697),32,1596
AMERICAN FAMILY CARE,AL,WETUMPKA,0,0,1230,POINT (-86.208227 32.544552),29,1544
APOGEE MEDICAL GROUP I,IN,GOSHEN,0,72146,0,POINT (-85.834392 41.581218),35,1851
PULMONARY ASSOCIATES O,FL,SAINT AUGUSTINE,155,168661,0,POINT (-81.316709 29.896004),30,1083
AMERICAN FAMILY CARE,AL,FAIRHOPE,0,0,114,POINT (-87.902979 30.527196),29,91
WAIANAE COAST COMPREHE,HI,KAPOLEI,0,98,0,POINT (-158.080833 21.334722),4,1657
RUFFOLO HOOPER AND ASS,FL,TAMPA,0,740,0,POINT (-82.458776 27.947423),30,1107
BOZEMAN HEALTH BIG SKY,MT,BOZEMAN,1085,1821,0,POINT (-111.046611 45.679294),2,2322
NYPMG QUEENS,NY,ASTORIA,0,140,0,POINT (-73.930603 40.7719),47,2137
BUFFALO MEDICAL GROUP,NY,ORCHARD PARK,0,323,2680,POINT (-78.743906 42.767456),47,2041
ROBIN DRUG DBA CORNER,MN,SAINT CLOUD,0,4748,0,POINT (-94.115542 45.569048),1,367
QD PHARMACY,CA,WALNUT CREEK,1400,0,9861,POINT (-122.061921 37.901763),8,1185
SCRIPPS CLINIC,CA,LA MESA,257,0,0,POINT (-117.024725 32.766157),8,1179
FALL PREVENTION AND ST,MD,OWINGS MILLS,0,0,3560,POINT (-76.78007 39.418134),45,1763
BRIGHAM AND WOMENS PHY,MA,JAMAICA PLAIN,17480,11103,0,POINT (-71.120796 42.3097),25,1918
THE BAIDEN GROUP INC,CA,ACTON,0,0,2400,POINT (-118.197176 34.467175),8,1195
SOUTH SHORE INFECTIOUS,NY,SYOSSET,0,15442,0,POINT (-73.501884 40.82533),47,2094
DELTA HEALTH CENTER IN,MS,MAYERSVILLE,1425,0,0,POINT (-91.048143 32.903079),32,1648
RENAL HYPERTENSION CEN,FL,TAMPA,0,416,0,POINT (-82.458776 27.947423),30,1107
CHEMPATH,NY,BRONX,0,0,40,POINT (-73.920265 40.826153),47,2032
HAZLE DRUGS INC,PA,HAZLETON,920,0,45005,POINT (-75.974446 40.960001),48,2556
BRIGHT HEALTH PHYSICIA,CA,WHITTIER,0,1363,0,POINT (-118.048051 33.967318),8,1195
ANOOP MAHESHWARI MD PR,CA,CORONA,0,40913,0,POINT (-117.568843 33.875665),8,1177
COLORADO PERMANENTE ME,CO,DENVER,4730,1514,0,POINT (-104.984853 39.738453),9,1444
NSH CIPS G LLC,GA,GRIFFIN,0,108,0,POINT (-84.263911 33.244437),31,1565
FLORIDIAN HOSPITALIST,FL,CRESTVIEW,0,78847,0,POINT (-86.562651 30.749649),30,1076
WH IL MEDICAL PLLC,IL,CHICAGO,64,0,0,POINT (-87.632398 41.883229),34,1863
TRI LAKES MONUMENT FIR,CO,MONUMENT,0,2197,0,POINT (-104.868237 39.09158),9,1447
METRO EAST SERVICES IN,IL,SHILOH,1701,6162,0,POINT (-89.897987 38.558758),34,1797
ATHENS PULMONARY AND S,GA,ATHENS,0,0,791,POINT (-83.376798 33.957412),31,2236
BEHAVIORAL HEALTH SERV,CA,GARDENA,851,126,0,POINT (-118.309144 33.883764),8,1195
RIVER HEALTH AND WELLN,AK,SOLDOTNA,517,1103,0,POINT (-151.063082 60.489561),51,110
PRACTICE ASSOCIATES ME,NJ,UNION,6751,38752,1461,POINT (-74.269889 40.696436),46,2532
COMMUNITAS PRIMARY CAR,LA,BATON ROUGE,0,717,0,POINT (-91.187488 30.443319),22,1582
MEDI SHOP PHARMACY LLC,AR,MENA,0,0,1521,POINT (-94.23539 34.583076),15,995
GEORGETOWN DRUG LLC,GA,SAVANNAH,680,0,16335,POINT (-81.090103 32.08059),31,1160
MERCY CLINIC PULMONOLO,MO,HAZELWOOD,0,5502,0,POINT (-90.390119 38.785254),18,2210
UNITED HEALTH CENTERS,CA,ORANGE COVE,646604,117891,0,POINT (-119.312255 36.631711),8,1188
BETH ISRAEL AT MOUNT S,NY,BROOKLYN,385499,158143,210756,POINT (-73.990996 40.692529),,2090
SOUTH LANE MEDICAL GRO,OR,COTTAGE GROVE,2634,441,0,POINT (-123.059032 43.797274),12,2371
SIMONMED IMAGING FL LL,FL,ORLANDO,33,305,0,POINT (-81.378879 28.538331),30,1078
MALIK MEDICAL ASSOCIAT,NJ,JERSEY CITY,0,8348,0,POINT (-74.044111 40.717495),46,488
POCONO MOUNTAIN REGION,PA,TOBYHANNA,0,562,0,POINT (-75.520888 41.111329),48,2560
ACCESS COMMUNITY HEALT,IL,CHICAGO,0,0,22599,POINT (-87.632398 41.883229),34,1863
ST ELIZABETH PHYSICIAN,KY,CRESTVIEW HILLS,2681,8152,760,POINT (-84.575613 39.021246),36,1329
HANNIBAL CLINIC OPERAT,MO,HANNIBAL,1865,1733,0,POINT (-91.385386 39.704996),18,2122
NEIGHBORHOOD MEDICAL C,NJ,BELLEVILLE,0,875,0,POINT (-74.152885 40.787363),46,2486
SUTTER VALLEY MEDICAL,CA,FAIRFIELD,122,0,120,POINT (-122.049851 38.251488),8,1338
KARE INCCORPORATED,NM,AZTEC,0,0,12364,POINT (-108.009513 36.830524),11,1989
NORTHEAST GEORGIA PHYS,GA,CUMMING,4764,40287,600,POINT (-84.140359 34.207048),31,1136
SOUND PHYSICIANS OF GE,GA,EAST POINT,0,54861,0,POINT (-84.44137 33.683069),31,1137
EASTERN MAINE MEDICAL,ME,BANGOR,1244,12589,0,POINT (-68.771334 44.801602),49,1724
ST BERNARD PHYSICIAN S,LA,CHALMETTE,0,10679,0,POINT (-89.963253 29.943421),22,269
CONTINUUM FAMILY CARE,MO,MARYVILLE,0,0,40,POINT (-94.872948 40.346095),18,2130
UNIVERSITY OF NEW MEXI,NM,ALBUQUERQUE,1970,75,0,POINT (-106.649241 35.084248),11,491
SPORTSMED PT,NJ,HO HO KUS,70,0,0,POINT (-74.101253 40.996486),46,487
CRITICAL CARE PHYSICIA,PA,PHILADELPHIA,0,5094,0,POINT (-75.16562 39.951061),48,2602
WHITE DRUG COMPANY OF,ND,BISMARCK,0,0,3637,POINT (-100.781609 46.80537),3,2378
SAMMY T HUNG MD INC,CA,HAYWARD,0,1923,0,POINT (-122.083963 37.672111),8,1141
CHOPTANK COMMUNITY HEA,MD,GOLDSBORO,289,140,2096,POINT (-75.786832 39.034291),45,1765
GUIDEWELL SANITAS I LL,FL,DORAL,5699,45,23098,POINT (-80.353477 25.811545),30,1074
PRIVIA MEDICAL GROUP,MD,ANNAPOLIS,942,111,0,POINT (-76.495683 38.97829),45,418
ALLINA HEALTH SYSTEM,MN,MINNEAPOLIS,4089,440,0,POINT (-93.264346 44.977479),1,1406
ZAKERI CLINICAL TESTIN,OH,TIPP CITY,0,0,6215,POINT (-84.176638 39.96111),38,591
PUEBLO RADIOLOGY MEDIC,CA,ARROYO GRANDE,90,474,0,POINT (-120.576388 35.124098),8,1332
HARTFORD  HEALTHCARE A,CT,WETHERSFIELD,0,0,417,POINT (-72.663607 41.712487),24,1041
STAT MED PC A CALIFORN,CA,DUBLIN,409512,42358,43747,POINT (-121.927001 37.710083),8,1141
ARCARE,AR,BATESVILLE,40,448,400,POINT (-91.640781 35.777648),15,1026
NORTH COAST PROFESSION,OH,CLYDE,9249,4013,0,POINT (-82.974842 41.305317),38,596
MAINE MEDICAL CENTER,ME,LIVERMORE FALLS,1048,335,0,POINT (-70.185859 44.473038),49,1679
BOULDER COMMUNITY HOSP,CO,SUPERIOR,2436,677,0,POINT (-105.166782 39.954052),9,85
FLORIDA HOSPITAL MEDIC,FL,ORLANDO,0,693,0,POINT (-81.378879 28.538331),30,1078
DLP CONEMAUGH PHYSICIA,PA,CONFLUENCE,0,474,0,POINT (-79.35184 39.815849),48,2605
INPHYNET PRIMARY CARE,NC,RALEIGH,7143,5202,0,POINT (-78.64167 35.781295),37,3158
CAROLINA FAMILY HEALTH,NC,TARBORO,41149,5781,257616,POINT (-77.536269 35.899727),37,2336
PRIME LAB,CA,WESTLAKE VILLAGE,2706418,0,0,POINT (-118.799648 34.14381),8,1195
WAYNE TOWNSHIP TRUSTEE,IN,AVON,0,15541,0,POINT (-86.396567 39.76282),35,1894
FAST ACCESS HEALTHCARE,TN,CLEVELAND,35,401,0,POINT (-84.8755 35.159867),39,1995
DELAWARE DIAGNOSTIC LA,DE,NEWARK,921797,0,0,POINT (-75.753614 39.681656),43,1047
MOHD HOSSAIN,NY,HOLLIS,14449,130,8661,POINT (-73.767502 40.713299),47,2137
HEYWOOD MEDICAL GROUP,MA,WESTMINSTER,235,98,0,POINT (-71.911967 42.545443),25,1919
T J HEALTH COLUMBIA,KY,SCOTTSVILLE,2627,1808,0,POINT (-86.190491 36.753286),36,1875
THE NEUROHEALTH SCIENC,FL,SANFORD,0,246,0,POINT (-81.273111 28.800795),30,1087
INGHAM REGIONAL MEDICA,MI,LANSING,14354,335895,0,POINT (-84.553927 42.733625),50,344
BROCK MEDICAL LLC,KY,MOUNT STERLING,27146,3419,77,POINT (-83.942105 38.056374),36,1435
COUNTY OF TULARE HEALT,CA,VISALIA,4859,2176,82,POINT (-119.29888 36.33012),8,81
GRATIE LLC,IA,KINGSLEY,0,0,40,POINT (-95.967321 42.586916),16,1838
SPRINGHILL HOSPITALS I,AL,MOBILE,357972,2154488,14799,POINT (-88.044822 30.688943),29,1591
CHARTER TOWNSHIP OF SH,MI,SHELBY TOWNSHIP,0,3106,0,POINT (-82.993698 42.662102),50,1265
COASTAL PEDIATRIC ASSO,SC,CHARLESTON,1761,816,2372,POINT (-79.931027 32.77647),33,1968
DIRECT URGENT CARE1417,CA,PASADENA,2934732,99014,25521512,POINT (-118.141452 34.14955),8,1195
KAASHI LLC,MA,FRAMINGHAM,0,0,40057,POINT (-71.418825 42.28156),25,1915
MISSION CITY COMMUNITY,CA,NORTH HILLS,2476,100,0,POINT (-118.466904 34.229584),8,1195
KENNEDY UNIVERSITY HOS,NJ,SEWELL,0,55,0,POINT (-75.144699 39.766399),46,2487
LOUISIANA STATE UNIVER,LA,KENNER,0,3199,0,POINT (-90.24298 29.990794),22,1627
SHILOH EMERGENCY GROUP,AR,HOT SPRINGS,97474,38464,0,POINT (-93.055659 34.502785),15,16
THE SOUTH BEND CLINIC,IN,GRANGER,560,824,0,POINT (-86.11101 41.75351),50,1202
NORTH SHORE MEDICAL LA,NY,WILLISTON PARK,1960175,1223325,0,POINT (-73.646016 40.76087),47,2094
HOMESTAR MEDICAL EQUIP,PA,BETHLEHEM,0,5816,0,POINT (-75.407938 40.632222),48,2555
SM MEDICAL LLC,NJ,BLOOMFIELD,123,91736,0,POINT (-74.194954 40.792112),46,2486
SUN HEALTH AND WELLNES,FL,DAVENPORT,0,0,24173,POINT (-81.59407 28.162517),30,1082
NAAMAN ABDULLAH MD PA,FL,MIAMI,0,44,0,POINT (-80.194702 25.775084),30,1074
ST JOSEPH HERITAGE HEA,CA,SANTA ANA,2012,101,0,POINT (-117.869781 33.749738),8,1174
LICKING MEMORIAL PROFE,OH,GRANVILLE,35,2463,0,POINT (-82.520263 40.066734),38,587
AFC URGENT CARE OF SAN,CA,SAN DIEGO,10053,1314,0,POINT (-117.163817 32.71576),8,1179
DLP CENTRAL CAROLINA M,NC,BROADWAY,70,95,0,POINT (-79.051874 35.453741),37,2390
OCALA HEALTH SURGICAL,FL,LADY LAKE,210,2046,0,POINT (-81.922409 28.915325),30,1112
MAINE MEDICAL CENTER,ME,BELFAST,2890,22045,5208,POINT (-69.007424 44.425496),49,1727
URGENTCARE OF FREEHOLD,NJ,FREEHOLD,129850,7627,0,POINT (-74.274349 40.259978),46,2491
AFC URGENT CARE,NJ,BOUND BROOK,699298,38344,160,POINT (-74.53224 40.561579),46,490
ROWANSOM NEW JERSEY IN,NJ,STRATFORD,0,2529,0,POINT (-75.012523 39.834483),46,2448
HEARTLAND ALLIANCE HEA,IL,CHICAGO,1640,0,46357,POINT (-87.632398 41.883229),34,1863
FAMILY HEALTHCARE NETW,CA,SPRINGVILLE,37991,17071,26453,POINT (-118.822329 36.125897),8,81
MEDINA MEDS PHARMACY L,FL,KISSIMMEE,0,0,1430,POINT (-81.402518 28.294751),30,1079
DRUG RITE 3 PHARMACY C,NY,BROOKLYN,960,0,8625,POINT (-73.990996 40.692529),,2090
WALMART VISION CENTER,MN,WINONA,0,0,144,POINT (-91.639366 44.049877),1,1559
LIFEGUARD AMBULANCE SE,DC,WASHINGTON,0,95120,0,POINT (-77.019912 38.892062),44,1049
SUSQUEHANNA PHYSICIAN,PA,MUNCY,0,423,0,POINT (-76.786061 41.20237),48,2557
NORTHWESTERN MEDICINE,IL,CRYSTAL LAKE,316,0,0,POINT (-88.333549 42.231746),34,1722
MOUNTAIN AREA HEALTH E,NC,FRANKLIN,0,0,80,POINT (-83.381165 35.1819),37,2393
MAYO CLINIC HEALTH SYS,MN,ROCHESTER,404,1421,0,POINT (-92.458867 44.019331),1,3140
MILLENNIUM PHYSICIAN G,FL,JACKSONVILLE,0,0,273,POINT (-81.65676 30.325968),30,1098
HARTFORD HEALTHCARE ME,CT,WALLINGFORD,0,434,0,POINT (-72.818414 41.454408),24,1044
OHANA KIDS AND FAMILY,AZ,MESA,0,0,2360,POINT (-111.831498 33.41514),7,989
GREENWOOD LEFORE HOSPI,MS,GREENWOOD,163357,238450,0,POINT (-90.192849 33.521468),32,2538
SERRA COMMUNITY MEDICA,CA,SUN VALLEY,0,325,0,POINT (-118.3694 34.217499),8,1195
PARKE COUNTY EMERGENCY,IN,ROCKVILLE,0,2505,0,POINT (-87.227686 39.762512),35,1912
SPRINGFIELD CLINIC,IL,EFFINGHAM,114,406,0,POINT (-88.54561 39.118299),34,229
TENET FLORIDA PHYSICIA,FL,WEST PALM BEACH,0,13675,0,POINT (-80.054947 26.714439),,52
PARKVIEW HOSPITAL,IN,FORT WAYNE,546693,3055284,0,POINT (-85.137495 41.077474),35,1839
INWOOD PHARMA INC,NY,NEW YORK,40,0,6334,POINT (-74.007228 40.713054),46,2095
PRIVATE DIAGNOSTIC CLI,NC,DURHAM,0,207,0,POINT (-78.899023 35.996948),37,641
MANHAL H NAOUMI,MI,WARREN,0,0,560,POINT (-83.020184 42.52144),50,1265
OLYMPIC GERHART PHARMA,CA,COMMERCE,840,0,34352,POINT (-118.159769 34.000308),8,1195
FAITH REGIONAL HEALTH,NE,NORFOLK,8635,529716,0,POINT (-97.411879 42.032834),19,3142
BROCK MEDICAL LLC,KY,GLASGOW,611,171,40,POINT (-85.911869 36.995839),36,1877
ALLSOUTH URGENT CARE C,AL,DOTHAN,261969,95370,407,POINT (-85.391121 31.224297),29,1551
POLK COUNTY,IA,DES MOINES,0,0,174884,POINT (-93.620309 41.588822),16,1878
NORTHERN IMAGING ASSOC,MI,CHEBOYGAN,0,239,0,POINT (-84.474826 45.646812),50,1269
BEACH PHARMACY LL LTD,NC,HATTERAS,0,0,16849,POINT (-75.686916 35.216576),,639
SHANNON BRIGMAN MD,OR,NEWBERG,0,0,320,POINT (-122.979156 45.300317),12,2453
PINNACLE HEALTH MEDICA,PA,MIDDLETOWN,158,683,0,POINT (-76.72901 40.19917),48,2502
MARY A MCELANEY MD,TN,NASHVILLE,0,43035,0,POINT (-86.779932 36.166687),39,2005
DESERT SUN PEDIATRICS,AZ,PHOENIX,360,0,0,POINT (-112.072585 33.448204),7,989
PALESTINE FAMILY PHARM,AR,PALESTINE,0,0,5473,POINT (-90.906566 34.969002),15,24
UNIVV INC,FL,LEHIGH ACRES,1120,0,13297,POINT (-81.634164 26.611077),30,1113
ACUTE CARE CLINIC INC,TN,CROSSVILLE,1361,179,0,POINT (-85.036241 35.953117),39,2004
ACCESS ABMULANCE  INC,RI,PAWTUCKET,0,252,0,POINT (-71.382408 41.8799),27,2660
ADVENTIST HEALTHCARE U,MD,LAUREL,3484,0,0,POINT (-76.848374 39.099535),45,1815
KRAHLING LLC,PA,SPRING MILLS,0,0,80,POINT (-77.571944 40.856152),48,2495
PARAMED INC,MI,PONTIAC,0,20314,0,POINT (-83.292696 42.638782),50,1307
HMHP PHYSICIANS ENTERP,OH,EAST PALESTINE,0,491,0,POINT (-80.539842 40.832654),38,2514
ROCKFORD HEALTH PHYSIC,IL,ROCKFORD,336,207,0,POINT (-89.088377 42.266802),34,1810
CONWAY HOSPITAL,SC,CONWAY,287735,1463336,0,POINT (-79.059913 33.837943),33,656
COASTAL CAROLINA PRIMA,SC,NORTH CHARLESTON,963,0,0,POINT (-80.013227 32.87887),33,1968
HENRY FORD HEALTH SYST,TN,CHATTANOOGA,0,134,0,POINT (-85.308287 35.045756),39,2049
PRIMARY CARE PARTNERS,NJ,RANDOLPH,0,459,0,POINT (-74.58991 40.828406),46,2492
NOVANT MEDICAL GROUP,NC,LELAND,3715,66,0,POINT (-78.044714 34.256281),37,2231
CENTRAL OHIO HOSPITALI,OH,WESTERVILLE,0,4739,0,POINT (-82.931621 40.125943),38,2520
JT TOMPKINS PHARMACIST,NY,MENDON,0,0,4828,POINT (-77.504667 42.997778),47,2093
KOOTENAI HEALTH,ID,BOISE,0,234,0,POINT (-116.201579 43.615791),5,1659
BAPTIST HEALTH MEDICAL,KY,MADISONVILLE,9853,5683,0,POINT (-87.4988 37.328179),36,1325
